,id,text,created,sentiment
1,1.29E+18,One solution can't fit to everyone's need. Your objective would define which would work better... or…/RovrfAQDbU,8/12/2020 23:56,2
2,1.29E+18,"===

===

Google Maps make a comeback to Apple Watch after a three-ye…/cVgiad7iyn",8/12/2020 23:56,2
3,1.29E+18,Price Optimisation simplified. Revionics partners with Google Cloud to help retailers execute profitable pricing st…/N7Mvj2ocan,8/12/2020 23:51,1
4,1.29E+18,"===

===

Google Home 2.26 adds Nest Hub Max to Android 11 menu - 9to5Google/evFqmOKMNT",8/12/2020 23:50,2
5,1.29E+18,Complete Google Slides Course – Create Stunning Slides/KbK548lvNy,8/12/2020 23:50,2
6,1.29E+18,"The New  Founders’ Letter: The Information’s #Briefing
/6D8uJaLrWT",8/12/2020 23:50,2
7,1.29E+18,"if you look up the word #übersetzung on , you might not realize the point at which the webpage has…/o0corijZ0p",8/12/2020 23:49,2
8,1.29E+18,What’s Behind the Meteoric Rise of Chainlink?/mlao8PUjbZ,8/12/2020 23:47,2
9,1.29E+18,What’s Behind the Meteoric Rise of Chainlink?/Hr63Yz8EMZ,8/12/2020 23:47,1
10,1.29E+18,What’s Behind the Meteoric Rise of Chainlink?/ib0tEO5Fow ,8/12/2020 23:47,2
11,1.29E+18,Tech giants preview antitrust defenses before Congress. Read about this historic moment:/suCz2SRGfA ,8/12/2020 23:47,0
12,1.29E+18,@Bc_Gallagher Check out/jRvtsp7qvH. ,8/12/2020 23:45,2
13,1.29E+18,New Assistant Mask Song Offers Safety Reminder/iBpXW2YDwp,8/12/2020 23:45,2
14,1.29E+18,Complete Google Slides Course – Create Stunning Slides/8RK2B9KQDv,8/12/2020 23:45,2
15,1.29E+18,"Our team has been having weekly virtual workshops w/ for the last month and from time to time, my Goog…/DLzAjzGHOW",8/12/2020 23:44,1
16,1.29E+18,I heard that intext citations are coming to docs ... will HS teachers be excited?,8/12/2020 23:42,1
17,1.29E+18,"Aww snap guess who updated her virtual card
",8/12/2020 23:42,2
18,1.29E+18,"Yup is racist to and #whitepeople. This proves there isn't any <U+0001F9D0>.

Didn't…/kqYBaW5oz2",8/12/2020 23:41,0
19,1.29E+18,"What’s automation? 

Resources:

/mz2yyOUZE6",8/12/2020 23:40,2
20,1.29E+18,"@Google  

I do not want to see CNN on my Google feed! But in order to block them from my fe…/UxyGNbZCVN",8/12/2020 23:38,0
21,1.29E+18,"[Android] Sweet Candy Blast is free for a limited time on Google Play

/qMQ5iZy45M",8/12/2020 23:37,2
22,1.29E+18,makes building apps on easier/omtO4H70cV via @techcrunch,8/12/2020 23:35,1
23,1.29E+18,"@kywindover @CNN @MSNBC @FoxNews They are not covering this and won't. When you the incident, only small ou…/TEhYVJVBJc",8/12/2020 23:34,0
24,1.29E+18,Holy Cow! Grass Fed Beef on #Google:/dmBWuzeepU,8/12/2020 23:33,2
25,1.29E+18,Ghost Block Estate Wines on ,8/12/2020 23:32,2
26,1.29E+18,"dodges lawsuit over scraping
/roakxds4GE",8/12/2020 23:30,0
27,1.29E+18,Google has enhanced the features of its Lookout app which will help people identify information about their surroun…/umAjXbflMM,8/12/2020 23:30,1
28,1.29E+18,"has announced that it will launch an educational tool to enable students in interactive learning. 
/999I1vX7Oh",8/12/2020 23:30,1
29,1.29E+18,"""As we know from previous  detecting undersea #earthquakes is crucial to saving lives and protecting prop…/Yq3nnQv60c",8/12/2020 23:29,1
30,1.29E+18,@Reuters It's because of these types of practices US Congress went after #BigTech! Curious how the #platform…/x24fjmQbeT,8/13/2020 23:59,0
31,1.29E+18,"also removes Fortnite from Play Store for Android 

""We can no longer make Fortnite  available on Play beca…/2WKxXQyOCh",8/13/2020 23:58,0
32,1.29E+18,"Despite what people claim, nobody can tell you the exact keyword that a particular visitor searches to get to your…/RwhSO11dbo",8/13/2020 23:57,2
33,1.29E+18,Greed is not cool. Play nice and #Google. ,8/13/2020 23:54,0
34,1.29E+18,"Thought would not go down the same path, I was clearly wrong.

0 - 2

",8/13/2020 23:54,0
35,1.29E+18,"Google just followed. Facebook is like, take all the attention from us. /T9uw8Mb21u",8/13/2020 23:54,0
36,1.29E+18,Future Proof FutureProofN Follow us for latest news Google pulled 'Fortnite' from the Play Store on A…/XbWNmaCXmX,8/13/2020 23:54,0
37,1.29E+18,So we got epic backed by Spotify and apple backed by Google. WTF IS GOING ON??? ,8/13/2020 23:52,0
38,1.29E+18,The webp image format: Because what the world needs right now is another stupid file format that isn't…/T9IukckDNE,8/13/2020 23:52,0
39,1.29E+18,My son has been asking if Poppi and Branch from <U+2066>@Trolls<U+2069> get married. <U+2066>@AnnaKendrick47<U+2069> or <U+2066>@jtimberlake<U+2069>…/GKcJzoE0Cp,8/13/2020 23:51,2
40,1.29E+18,"InfluxDB now available on Azure, Cloud and AWS/7GyxDIbEGb via @SecurityNewsbot",8/13/2020 23:51,1
41,1.29E+18,<U+0001F51D> tries to make travelling less stressful during COVID-19 with new information on flights and hotels/ws0TO9VRJJ,8/13/2020 23:51,2
42,1.29E+18,"@moskov <U+0001FAD6> @otter_ai punctuates, Docs doesn't

/tJNIrO9Wzf",8/13/2020 23:50,0
43,1.29E+18,What’s Behind the Meteoric Rise of Chainlink? ,8/13/2020 23:48,2
44,1.29E+18,"Hahaha, has pulled Fortnite from the Play Store as well.",8/13/2020 23:47,2
45,1.29E+18,Wow this in tech event in partnership with Google is giving me LIFE. ,8/13/2020 23:46,1
46,1.29E+18,The plot thickens. Even more Epic. Fortnite also kicked off the Google Play Store. Epic Games | Apple | Google |…/BQWppZZih9,8/13/2020 23:42,0
47,1.29E+18,has been removed from both the and stores. Incredible! Will it be removed from and as well?,8/13/2020 23:42,2
48,1.29E+18,Another competitor enters the ring! has been removed from the following #EpicGames' payment me…/PV4iDYpS3l,8/13/2020 23:42,0
49,1.29E+18,"I've used both suites extensively in my classroom, and I think is superior to in terms of speed,…/gocewPkCFn",8/13/2020 23:41,1
50,1.29E+18,"A4: I have my own community,  who helps me answer qs abt  @Flipgrid, &amp; everything in between. S/O…/Zx1VTJIzy3",8/13/2020 23:40,2
51,1.29E+18,"<U+0001F4DA> iMessage Epic! Summarizing <U+0001F4D6> 

Being displaced to 4th grade  is a challenge. But combining the power of…/BcQzsnVdqE",8/13/2020 23:39,2
52,1.29E+18,Kids Birthday Party Rentals! on ,8/13/2020 23:39,2
53,1.29E+18,@TechCrunch It's because of these types of practices US Congress went after #BigTech! Curious how the #platform…/I8hLe5Rj0l,8/13/2020 23:38,0
54,1.29E+18,@ReutersBiz It's because of these types of practices US Congress went after #BigTech! Curious how the #platform…/ViEMQbPgIA,8/13/2020 23:34,2
55,1.29E+18,"deleted from the OS's.

Fortnite is now fully not downloadable on iOS. But…/LKhfBKCwUg",8/13/2020 23:32,0
56,1.29E+18,"So the and ongoing issue is the same reason why? 
trend seems to be heading in a wr…/cclEqXWcmF",8/13/2020 23:32,0
57,1.29E+18,"may be open source, but without google's ecosystem of apps and api's, android is pretty much usele…/ZjbH7Nnu7Y",8/13/2020 23:30,1
58,1.29E+18,"Six Useful Operators  

1/IAszAYZzhn",8/13/2020 23:29,2
59,1.29E+18,Apps built with #Apple-Exposure Notification API adopted by three US states/E2e0Grxugu,8/13/2020 23:28,2
60,1.29E+18,Poultry India TV on ,8/13/2020 23:28,2
61,1.29E+18,What Is Share of Voice? How to Measure It Across Channels/UCvmv165c5 @ahrefs,8/13/2020 23:27,2
62,1.29E+18,Calvary Chapel San Juan Capistrano on Our second service on Sundays are at 5pm!/99eOiIvozG,8/14/2020 23:56,2
63,1.29E+18,<U+0001F64A><U+0001F649><U+0001F648> I have never seen a tech company more incompetent with product lifecycle management and overall product strateg…/bSSB7iTDTV,8/14/2020 23:55,0
64,1.29E+18,IMAN'S CAFE on ,8/14/2020 23:53,2
65,1.29E+18,How To Get More Traffic!/uT95WbUwlQ ,8/14/2020 23:50,0
66,1.29E+18,"Has anyone tried claat? 
",8/14/2020 23:49,2
67,1.29E+18,Pristine Carpet Cleaning on ,8/14/2020 23:48,2
68,1.29E+18,I'm really into free iPad right now ,8/14/2020 23:47,2
69,1.29E+18,"pay customer care helpline number 06202448868 SBI UPI servers down: Google Pay, PayTM, PhonePe &amp; more users…/DLSu4pISjH",8/14/2020 23:46,2
70,1.29E+18,makes building Android apps on Chrome OS easier. (TechCrunch) ,8/14/2020 23:45,1
71,1.29E+18,How to optimize your local ,8/14/2020 23:44,2
72,1.29E+18,Bree/sqfAF5kWxN,8/14/2020 23:43,2
73,1.29E+18,"Each tech company chose a different term: uses ""state-controlled"" while uses ""state-affiliated""…/GAigBEdgHQ",8/14/2020 23:41,2
74,1.29E+18,Parties for Kids! Birthday Characters Clown Pony Petting Zoo Magicians Bouncers on ,8/14/2020 23:41,2
75,1.29E+18,How to Get to the Top of #Google's Search Results [Interactive Guide]/aBLv4lksLA,8/14/2020 23:37,2
76,1.29E+18,What Is SEO Rank Tracking? Is it dead or alive? What is changing? How should you do it today? SEO ,8/14/2020 23:36,2
77,1.29E+18,"Spotify, Epic Games, Facebook: Major Companies Take Aim At Apple’s App Store Fee
/thV7MdwDVN",8/14/2020 23:36,2
78,1.29E+18,Imagine if all these dudes went to Congress now.... what an awkward waiting room...... #epicgames…/yFTcuPi64Z,8/14/2020 23:35,0
79,1.29E+18,"Don’t get confused in who your customers are. We are making you target the right customers.
Contact Us:…/htoaVYpCC2",8/14/2020 23:34,2
80,1.29E+18,Cherry Boom Boom on ,8/14/2020 23:34,2
81,1.29E+18,Authors in apparently an app is stealing content and putting them under another name and GAININ…/uiy8p9I1MN,8/14/2020 23:31,0
82,1.29E+18,"Pinterest is great for inspiration. A few weeks ago, Google launched an AI-powered rival which uses its expertise i…/BLLsvEVnUn",8/14/2020 23:30,1
83,1.29E+18,"microsoft google and facebook are unable to run their gaming services on iOS because apple said no

in unrelated ne…/u4D50qs1Qf",8/14/2020 23:30,0
84,1.29E+18,Google Enhances Search for Live TV Programming -/k34SrIzs3l ,8/14/2020 23:28,1
85,1.29E+18,"So, if Roblox is shutting down for, i hope David considers weather to sell it to Epic Game or Google or Microsolf,…/X9cG91k3HJ",8/14/2020 23:28,2
86,1.29E+18,"Fortnite VS Apple &amp; Google Lawsuit EXPLAINED

Episode 6 Is Out NOW! After 3 Months <U+0001F602>
/sGaI9E0lCC",8/14/2020 23:24,0
87,1.29E+18,"Making your business heard and seen in the market with the best business solutions.
Contact Us:…/GNEQKVyAdv",8/14/2020 23:21,2
88,1.29E+18,It's almost bizarre how much better Google Chrome works than Safari - even on Mac OS Big Sur. ,8/14/2020 23:21,1
89,1.29E+18,What Are Keywords? How to Use Them for SEO -/9MtE33CrKh,8/14/2020 23:20,2
90,1.29E+18,"I'm not friend of or  but hope they can sue back for cheating Terms and Conditions.

Not…/YRIiJ74q9z",8/14/2020 23:19,0
91,1.29E+18,"""News: startups cry foul over what #Google’s doing with their data - TechCrunch #News"":/9sA3VjhM5u",8/14/2020 23:19,0
92,1.29E+18,"Don't stand still... <U+0001F92F>Sniped Headshot #FreeFortnite

<U+0001F534>Stream Starting at 5:00 PM PST
/lqYSfMLn3j",8/15/2020 23:58,0
93,1.29E+18,Setting up video calls sometimes takes too long. Google Meet has launched a '/Yxoj8gtn88,8/15/2020 23:57,1
94,1.29E+18,"Episode 3

<U+0001F4A5><U+0001F4A5>COMING SOON<U+0001F4A5><U+0001F4A5>

 #kanyewest…/zmvea8GADT",8/15/2020 23:54,2
95,1.29E+18,TuShea Productions Advertising Agency on ,8/15/2020 23:54,2
96,1.29E+18,TuShea Productions Advertising Agency on ,8/15/2020 23:54,2
97,1.29E+18,"Protesters outside Belarus TV centre urge end to censorship 

READ MORE:/YCUCKB0efl",8/15/2020 23:51,2
98,1.29E+18,"Turn on notification to get monitoring the latest photo content, i hope too to share it..
-------------------------…/mz6fXI9BPe",8/15/2020 23:51,2
99,1.29E+18,"is shutting down its builder    
/QPLUflUvov",8/15/2020 23:50,2
100,1.29E+18,Program for High-Risk users now includes Protection/J7kEyTBiMo,8/15/2020 23:48,2
101,1.29E+18,"Google's New Initiative Step!!!! People Card<U+0001F60D><U+0001F60D><U+0001F60D> @google 
#parryprabhu…/mv366ZTtjq",8/15/2020 23:48,1
102,1.29E+18,Guess I was lazy today #inbound…/jnX9wv4omL,8/15/2020 23:45,2
103,1.29E+18,New Assistant Mask Song Offers Safety Reminder/iBpXW2YDwp,8/15/2020 23:45,1
104,1.29E+18,"How is your Google Local Search looking? To ensure customers find you, you need to stay up to date. #search…/brKlEuCFmM",8/15/2020 23:45,2
105,1.29E+18,About Last Night: X-Series 94 Google in Spruce Goose Headquarters!/PeXqdUR9es,8/15/2020 23:44,2
106,1.29E+18,Big Tech Versus Big | Structural solutions and shortcuts are available to .../itVsbY1ygo,8/15/2020 23:43,2
107,1.29E+18,Column: The maker of 'Fortnite' complains that and are monopolists. No kidding/kc6ngXv1qu,8/15/2020 23:43,0
108,1.30E+18,Gina E - The Agent that Listens on ,8/16/2020 23:56,2
109,1.30E+18,Be informed...Goolge routinely puts its own products before competitors in search.   #digitalprivacymatters…/boOtpebKTJ,8/16/2020 23:51,0
110,1.30E+18,"Now Playing 2 Hours Commercial Free Hit Music! Ask your Smart Speaker to ""Play Power 96.1 on @iHeartRadio"" or click…/bRzBSsPHMm",8/16/2020 23:50,2
111,1.30E+18,The Best Authenticator Apps for Linux Desktop - Make Tech Easier./EWiHeTiHOv,8/16/2020 23:49,2
112,1.30E+18," Inc., donated $1.125 million in (or for) “telelearning devices” to be distributed by the “Dedica…/t9FzkAgmgC",8/16/2020 23:47,1
113,1.30E+18,Guest Blogging: Google's Next Target?/29J2xMZZE6 seo ,8/16/2020 23:44,2
114,1.30E+18,"10 years at Google today! Celebrating being pushed out of my comfort zone, dreaming big, finding my voice, asking ""…/tjoEpnztgR",8/16/2020 23:41,1
115,1.30E+18,topping-out on weekly basis./JJdlUvAli9,8/16/2020 23:35,2
116,1.30E+18,"One effective way to #peacefulprotest? If you don't like their stance, don't spend a dollar. TLDN |…/dVAKedv08W",8/16/2020 23:35,2
117,1.30E+18,"Firebase Login with Flutter using onAuthStateChanged
/7ErURlXa3b",8/16/2020 23:34,2
118,1.30E+18,"How to Delete Your Search History #Privacy
/weollU8gB4",8/16/2020 23:31,0
119,1.30E+18,performing a swan song./jVliit7szW,8/16/2020 23:30,2
120,1.30E+18,The Rossi Law Firm on ,8/16/2020 23:30,2
121,1.30E+18,"My quarantine hair is so long, I look like I teach potions at a Florida wizarding school. It’s just googling, how t…/T5FJBi6ure",8/16/2020 23:29,2
122,1.30E+18,"This is my new <U+0001F60D>

How does your looks?

#marketing…/qRSXaxjlV8",8/16/2020 23:28,2
123,1.30E+18,Jim Weingarten Realtor Associate Streamline Properties on ,8/16/2020 23:28,2
124,1.30E+18,"Google Australia published a strong open letter against a proposed law, the News Media Bargaining Code, which would…/Cg4TPt5bVo",8/16/2020 23:28,0
