,id,text,created,sentiment
1,1.29E+18,@jimcramer I think same was happened when and had earning...and both went opposite direction as one had…/C2z9rQ5d1S,8/12/2020 22:10,2
2,1.29E+18,The new Microsoft Surface Duo is now available for preorder -/jje7tCVBf7,8/12/2020 21:56,1
3,1.29E+18,The Brokers at GSIMarkets whould like to inform you that: Microsoft Corp (MSFT) stock rose by 2.8567%! Currently pr…/i0XnOzY6z4,8/12/2020 21:36,1
4,1.29E+18,"<U+2B06><U+FE0F>for PF1 +3.4% (+21.23% YTD<U+2705>)
A good day all round 
+13.13% 
#AAPL+3.21%
+2.83%
but...
-14.25% s…/OxL1wWl2Td",8/12/2020 20:39,1
5,1.29E+18,"$MSFT dominated by bulls lifting the market higher throughout the day:/52Kq8Sbv8q
Sentiment: Very bullish ",8/12/2020 20:18,0
6,1.29E+18,"""The partnership will also advance the bank’s digital workplace transformation with Microsoft 365 and Microsoft Tea…/qZ5fJy5sqd",8/12/2020 19:16,1
7,1.29E+18,Highlights the challenge of stopping when running email security - SANS infosec training org suffer…/zlvJ7SXpXA,8/12/2020 19:12,2
8,1.29E+18,"onmsft: With Halo: Infinite being delayed, Microsoft’s Xbox Series X is now in a tough spot/5YvZzalWky ",8/12/2020 18:39,0
9,1.29E+18,onmsft: Windows 10 Insider build 20190 brings new first run experience and more granular Graphics Settings…/VZAr8JTXFA,8/12/2020 17:39,2
10,1.29E+18,"<U+2714><U+FE0F>Setup Windows Server vNext,  (without #GUI) #DevChannel<U+2697><U+FE0F>#ActiveDevelopmentBranch<U+0001F468><U+200D><U+0001F527><U+0001F3D7><U+FE0F>…/B4e4I24Z1i",8/12/2020 17:35,2
11,1.29E+18,1 hour charts for the Group 3 instruments are available for members viewing/w2dUiPnTZZ,8/12/2020 16:53,2
12,1.29E+18,"Was in the hole $600, had some faith, bought more calls, and with today’s hot streak, ended up selling +$409!…/s4Ps4EK2Ut",8/12/2020 16:47,1
13,1.29E+18,Vertical tabs start rolling out to Edge Insiders in the Dev channel -&gt;/Hgppm8v5ha ,8/12/2020 16:45,2
14,1.29E+18,China imminent announcement... ban on U.S. tech products ,8/12/2020 16:39,0
15,1.29E+18,onmsft: How to scan a folder for threats using Windows Security/x1koMyvjRY ,8/12/2020 16:39,2
16,1.29E+18,"onmsft: Yesterday we asked how much you thought the Surface Duo would cost, only 17% of you said more than $1299. W…/6O8YaLrIUa",8/12/2020 16:39,0
17,1.29E+18,Happening now at the Field Service Saturday Bootcamp: Microsoft's Vinay Nalam is talking about the new schedule boa…/fGQ8R31cfi,8/12/2020 16:38,2
18,1.29E+18,$MSFT ,8/12/2020 16:22,2
19,1.29E+18,The Group 3 Live Analysis / Room video recording is available for members/YUgFsHTCpK,8/12/2020 16:12,2
20,1.29E+18,"$MSFT Why is the price moving up so quickly? This video should explain :)

Using the @alphatrends ANCHORED VW…/O7oHb5RsgS",8/12/2020 16:04,1
21,1.29E+18,VPA Trend Trade•10:29 vol anom. hammer doji after rising vol signaling exhausting vol short entry•Partials on…/KyyngLOUhp,8/12/2020 15:55,2
22,1.29E+18,@lockheimer @panos_panay 2020 is a crazy year! ,8/12/2020 15:42,1
23,1.29E+18,"Microsoft is one of the world’s most valuable companies, and its 2020 financial results are record-breaking. Again!…/gKrlnRQ2ji",8/12/2020 15:21,1
24,1.29E+18,@daringfireball - have you seen this?/v4vqzXqtQA,8/12/2020 15:17,2
25,1.29E+18,price action suggests a failed breakdown of the respected trend lines. Mega tech strength fuels the NDX…/RuVplJU2rf,8/12/2020 15:04,2
26,1.29E+18,$MSFT Can @Microsoft reach a market cap of $2 trillion by 2022?/0Rsxmj7XEL,8/12/2020 14:53,1
27,1.29E+18,onmsft: Excel gains support for data import from PDF tables; here’s how to use it/LzLol7JwNA ,8/12/2020 14:39,1
28,1.29E+18,"onmsft: Forza Horizon 3 will disappear from the Microsoft Store on September 27, get it now while it’s on sale…/4rYp1yngEB",8/12/2020 14:39,2
29,1.29E+18,Microsoft to launch Xbox Series X in November -&gt;/XgEgIyb8Up ,8/12/2020 14:15,2
30,1.29E+18,Microsoft's two-screen Surface Duo isn't an iPhone or Galaxy Fold. That's the point -&gt;/G0UTfhkYL8,8/12/2020 13:45,2
31,1.29E+18,onmsft: Surface Earbuds will be coming in a new Graphite Gray color on September 10 for $200/Bb7IApyf1S ,8/12/2020 13:39,2
32,1.29E+18,"It's interesting to see back in the smartphone game
But let's face it, this one isn't for everybody
And it do…/ju6nsWYLwv",8/12/2020 13:28,2
33,1.29E+18,<U+0001F4AF><U+0001F51B><U+0001F5A5>@Microsoft: Microsoft Kills Windows 10's Automatic Driver Search/Bqoy8x4wKO,8/12/2020 13:16,0
34,1.29E+18,"using Google’s (GOOG, GOOGL) Android operating system on Dou smart phone.",8/12/2020 13:10,1
35,1.29E+18,"MICROSOFT’S SURFACE DUO ARRIVES ON SEPTEMBER 10TH FOR $1,399 -&gt;/mahzXMSei5",8/12/2020 13:10,2
36,1.29E+18,"S&amp;P 500 Index Update <U+0001F4C9>

Charts are released earlier in our Discord group #joinus

#stockstowatch…/iVihqMGBqN",8/12/2020 13:05,2
37,1.29E+18,/kbf87CRxhR,8/12/2020 12:58,2
