,id,text,created,sentiment
1,1.2937E+18,I bet @apple buys @Tesla lol  ,8/12/2020 23:52,1
2,1.2937E+18,TESLA USD (TSLA-USD)/9Xy9APPZgL,8/12/2020 23:48,2
3,1.29369E+18,Tesla shareholder on stock split announcement: 'This has been a long time in the making' $TSLA/JmsSDzXS1P ,8/12/2020 23:19,1
4,1.29368E+18,"Tesla, good R/R - chart/d2iYu33fM2",8/12/2020 22:58,1
5,1.29368E+18,.@Tesla Announces Stock Split  ,8/12/2020 22:39,1
6,1.29368E+18,"@HyperChangeTV @Gfilche leave these old school guys SPUN! <U+0001F92A> Love It! 
",8/12/2020 22:36,1
7,1.29368E+18,"@stockolicious @HyperChangeTV Also, how will $NIO have more shares outstanding than $TSLA after the split? 

#TSLA…/YFh6VwknRX",8/12/2020 22:27,2
8,1.29367E+18,"Today among others, California Public Employees Retirement System, increased their stake in $NIO and #TSLA…/W5sAvl5w5K",8/12/2020 22:15,0
9,1.29367E+18,"BREAKING: the entire NASDAQ splits 5-1 to attract Robinhood gamblers!
",8/12/2020 22:11,0
10,1.29367E+18,It’s really funny that @IvankaTrump wants to be Princess Diana but her father @realDonaldTrump wants to be Hitler.…/l656A3bX3T,8/12/2020 22:08,2
11,1.29367E+18,"$TSLA why splitting any stock is good... more investors can buy the stock now, which will lead to more market…/Nidf24jqzs",8/12/2020 21:59,1
12,1.29367E+18,I’ve been watching so many @CNBC and @ARKInvest videos with @CathieWood and @Elon that hype up $TSLA so much that I…/fwf5L2ylRS,8/12/2020 21:53,1
13,1.29367E+18,Tesla will test ATH tomorrow... save this tweet ,8/12/2020 21:48,1
14,1.29366E+18,$TSLA looking for a move into the 1600s by end of the week. Lotto.,8/12/2020 21:39,0
15,1.29366E+18,Tesla is the most dangerous stock for 2020: Expert $TSLA/WLYRYpy9hL ,8/12/2020 21:19,0
16,1.29366E+18,"<U+0001F534> BITCOIN LIVE <U+0001F534> Episode #2: LINK BREAK OUT! Tesla Split,  XTZ, Memes 

Video Uploaded &lt;3 

#tesla…/4ZJBXCOOHV",8/12/2020 21:11,2
17,1.29365E+18,"Results this week thus far:

/BBzknwMaDV",8/12/2020 20:44,2
18,1.29365E+18,You better Like and RT if you want me to debate with @CathieDWood on @CNBC !!!!<U+0001F621><U+0001F4AA><U+0001F933>,8/12/2020 20:41,2
19,1.29365E+18,"<U+2B06><U+FE0F>for PF1 +3.4% (+21.23% YTD<U+2705>)
A good day all round 
+13.13% 
#AAPL+3.21%
+2.83%
but...
-14.25% s…/OxL1wWl2Td",8/12/2020 20:39,1
20,1.29365E+18,"If they split 100 for 1, would it went have up 200%?  The value of a company should not change based on a stock spl…/YBbR7dxvQc",8/12/2020 20:37,0
21,1.29365E+18,@TicTocTick what is your address?  I would like to send you cocaine to show my appreciation of your numbers ,8/12/2020 20:29,1
22,1.29365E+18,traders: Info memos from today and yesterday: #TSLA/2TSLA       …/aZqANToN9E,8/12/2020 20:28,2
23,1.29365E+18,traders: Info memos from today and yesterday: #TSLA/2TSLA       …/nP1JtE6jJS,8/12/2020 20:28,2
24,1.29365E+18,"I think I chose a great week to get back into trading!!! Stock Market has been absolutely lovely!! 
<U+0001F91F><U+0001F3FE><U+0001F913><U+0001F4CA><U+0001F4C8><U+0001F4C9>",8/12/2020 20:27,1
25,1.29364E+18,@Math_Guitarist ...to buying stock is it doesn’t pay dividends. does. I set all of my dividends to auto…/y8oaRslafy,8/12/2020 20:18,0
26,1.29364E+18,"$TSLA rallies, gaining $180.37 (13.12%) within a single day on high volume:/y4l7FmfeCW
Sentiment: Neutral ",8/12/2020 20:18,1
27,1.29364E+18,"Tesla Inc closed at $1554.76 (13.12%) <U+0001F4B9> Market Cap is now $289.748B
",8/12/2020 20:07,2
